group	scene	gameobject_segment	fsm_name	fsm_id	relative_path	source_asset	content_hash
Abyss	Abyss_01.unity	Enemy_Msg__2	enemy_message	4771	Abyss/Abyss_01.unity/Enemy_Msg__2__enemy_message__fsm_4771.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	1e515fe25dda9d5270a664098b4a302e288f600f0cb743dfa866728dbeb3cb68
Abyss	Abyss_01.unity	Enemy_Msg__4	enemy_message	4783	Abyss/Abyss_01.unity/Enemy_Msg__4__enemy_message__fsm_4783.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	5ad7912ddd870524d2068526cfdf70170370bb03e9be80490e17a1e2332a0f2e
Abyss	Abyss_01.unity	Enviro_Region	Enviro Region	4826	Abyss/Abyss_01.unity/Enviro_Region__Enviro_Region__fsm_4826.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	d34524a276af00acdeb385d95977029835ab6845af377208cb9fbff67e237bc8
Abyss	Abyss_01.unity	Geo_Rock_1	Geo Rock	4827	Abyss/Abyss_01.unity/Geo_Rock_1__Geo_Rock__fsm_4827.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	c6729bef117d0bdfdc3bccbb43ea9e3f8ab4bca154a13da7552c651f454c5d09
Abyss	Abyss_01.unity	Geo_Rock_2__1	Geo Rock	4778	Abyss/Abyss_01.unity/Geo_Rock_2__1__Geo_Rock__fsm_4778.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	89401cab6143c5bdf387e1dc933101d630e08cbd8c31e820122e9671fcf3d961
Abyss	Abyss_01.unity	Geo_Rock_2	Geo Rock	4844	Abyss/Abyss_01.unity/Geo_Rock_2__Geo_Rock__fsm_4844.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	f7adce12b6eac9ee75ab142dedd456fbf334a73017123a97965647c249ece266
Abyss	Abyss_01.unity	Hollow_Shade_Marker__1	Spawn Offset	4753	Abyss/Abyss_01.unity/Hollow_Shade_Marker__1__Spawn_Offset__fsm_4753.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	2a75899b6519e134e721bafbfb741d45c647d3eb2399ca1b946f3c0a511f2393
Abyss	Abyss_01.unity	Hollow_Shade_Marker__2	Spawn Offset	4843	Abyss/Abyss_01.unity/Hollow_Shade_Marker__2__Spawn_Offset__fsm_4843.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	dfeddc9758fe1420adbe97550ad94d5b24fe76bf7a340471839581e4680e48a6
Abyss	Abyss_01.unity	Hollow_Shade_Marker__3	Spawn Offset	4832	Abyss/Abyss_01.unity/Hollow_Shade_Marker__3__Spawn_Offset__fsm_4832.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	c31064468282829b332bee2ad4ef3ccbfaa7402d37fd98179d6d40970178827e
Abyss	Abyss_01.unity	Hollow_Shade_Marker__4	Spawn Offset	4815	Abyss/Abyss_01.unity/Hollow_Shade_Marker__4__Spawn_Offset__fsm_4815.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	b0616ac72553b09d660c00de4b32e743e6095a5d403c4109c805af972a62cdff
Abyss	Abyss_01.unity	Hollow_Shade_Marker__5	Spawn Offset	4769	Abyss/Abyss_01.unity/Hollow_Shade_Marker__5__Spawn_Offset__fsm_4769.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	dab9cb51a0857abbb5e5053e631193a829aec13cf2155938ac9bf2804621e82a
Abyss	Abyss_01.unity	Hollow_Shade_Marker	Spawn Offset	4760	Abyss/Abyss_01.unity/Hollow_Shade_Marker__Spawn_Offset__fsm_4760.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	e56dd34b81cc5bb56bdcec0000e6c5c90368c59e60ce708e4c87452450f8ef13
Abyss	Abyss_01.unity	Inverse_Remasker	remasker_inverse	4765	Abyss/Abyss_01.unity/Inverse_Remasker__remasker_inverse__fsm_4765.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	67299b9c9d6045c79311204be7141217bf8195cf101072d4f03bbd8df17908b4
Abyss	Abyss_01.unity	Lost_hero_Region	FSM	4809	Abyss/Abyss_01.unity/Lost_hero_Region__FSM__fsm_4809.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	2c6a3054a70a64dc8368755a787cb28ed00eaac9bf8130cdb2bbfaa7cd98f3c8
Abyss	Abyss_01.unity	Lost_hero_Region	FSM	4839	Abyss/Abyss_01.unity/Lost_hero_Region__FSM__fsm_4839.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	514316e6d92adbbeb191120a3af2d8ff910dbc5d2cad4b4589fddb32f0b8f6e4
Abyss	Abyss_01.unity	Pin_Range	Set Pinned	4802	Abyss/Abyss_01.unity/Pin_Range__Set_Pinned__fsm_4802.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	b1b6794da7166ccb07a60de503e5f721d923962550d22cdb6c335d8e33cb5a82
Abyss	Abyss_01.unity	PlayMaker_Unity_2D	PlayMaker Unity 2D	4758	Abyss/Abyss_01.unity/PlayMaker_Unity_2D__PlayMaker_Unity_2D__fsm_4758.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	55f353420b1caaf96226ec4a1f305bcbe19267f283d98781b0182141dff61fd5
Abyss	Abyss_01.unity	Roof_Collider	Roof Control	4756	Abyss/Abyss_01.unity/Roof_Collider__Roof_Control__fsm_4756.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	8394b8d59ba0bde163ac915c6ad0c323da914961d4203a1bc36c0abd6406c7ac
Abyss	Abyss_01.unity	Ruins_Flying_Sentry__1	Flying Sentry Nail	4840	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__1__Flying_Sentry_Nail__fsm_4840.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	1770f83b5ad357b8e800a3cb372f9202c7baa588efc6d750eac31a7e21fa3fa3
Abyss	Abyss_01.unity	Ruins_Flying_Sentry__1	Go Upper	4838	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__1__Go_Upper__fsm_4838.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	065382d2d5d6a3ac1839d1c17293bb0b62edb85124403a81401d8c47c139440c
Abyss	Abyss_01.unity	Ruins_Flying_Sentry__1	Lost Hero Check	4834	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__1__Lost_Hero_Check__fsm_4834.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	d6fa182f9f129baabbd70f67cc6601bbfecfa5d43bfe015e462b7e8dc75a900f
Abyss	Abyss_01.unity	Ruins_Flying_Sentry__1	disable_special_death	4897	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__1__disable_special_death__fsm_4897.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	6afddc9e921605f02453cb86936885e7a0a577f12319e63666cc87a89e3487da
Abyss	Abyss_01.unity	Ruins_Flying_Sentry	Flying Sentry Nail	4812	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__Flying_Sentry_Nail__fsm_4812.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	bc83c63632d5a5297a8508d04091d0d57ea8fe211fb12467b3fd34b6ed5e091b
Abyss	Abyss_01.unity	Ruins_Flying_Sentry	Go Upper	4810	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__Go_Upper__fsm_4810.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	f819ac8f9a41490fe96f060c40fc7a5c2d8c50289eb251f8dcf7bb49cafeeed6
Abyss	Abyss_01.unity	Ruins_Flying_Sentry	Lost Hero Check	4806	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__Lost_Hero_Check__fsm_4806.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	58204954145526edfa2fd35a2ff7393ec3e1a22ef65fd95778d7374839342e55
Abyss	Abyss_01.unity	Ruins_Flying_Sentry	disable_special_death	4895	Abyss/Abyss_01.unity/Ruins_Flying_Sentry__disable_special_death__fsm_4895.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	1382ac8da95c1431e5840d95d23483ad1fe00822efa8a19f1e259e3a64962eeb
Abyss	Abyss_01.unity	SceneManager	Music Control	4789	Abyss/Abyss_01.unity/SceneManager__Music_Control__fsm_4789.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	94949d0fddbcb2b10727a67e2a14c9af92f2ba1b977167a67251ba3c8eebf418
Abyss	Abyss_01.unity	Secret_Sound_Region	unmasker	4833	Abyss/Abyss_01.unity/Secret_Sound_Region__unmasker__fsm_4833.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	be7477eb69aa7a9b4d8aa1bf307ea1f3f7cb3b587a97dfc5d1d8adc430de3421
Abyss	Abyss_01.unity	Slash_Hit	nail_clash_tink	4807	Abyss/Abyss_01.unity/Slash_Hit__nail_clash_tink__fsm_4807.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	bb3a21cf4b7605c2c19e1c4d868373ace5b92803b3b45b8889dbb69dd00d32fe
Abyss	Abyss_01.unity	Slash_Hit	nail_clash_tink	4836	Abyss/Abyss_01.unity/Slash_Hit__nail_clash_tink__fsm_4836.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	fc6a7ab9e3c661dae1cd09139e33ed55ce07c815d01b1f2683c670ad92f253db
Abyss	Abyss_01.unity	Wake_Region	FSM	4813	Abyss/Abyss_01.unity/Wake_Region__FSM__fsm_4813.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	e53c132a52a9574fd9beb5b45283ee929a8c5dd4652976ce417b02b7ab9802e0
Abyss	Abyss_01.unity	Wake_Region	FSM	4842	Abyss/Abyss_01.unity/Wake_Region__FSM__fsm_4842.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	fbe5a805f8392aad8fac709a912377c2eebfe10881097924781371bc3b6a9995
Abyss	Abyss_01.unity	White_Flash	fade and destroy	4803	Abyss/Abyss_01.unity/White_Flash__fade_and_destroy__fsm_4803.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	75420eafac22058f241a0279cde86096c6bf1e31704c3fb530ebc1fba6220bb1
Abyss	Abyss_01.unity	abyss_particles	FSM	4754	Abyss/Abyss_01.unity/abyss_particles__FSM__fsm_4754.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	181a78bf84033a9cef3bc5f55200523356331453f6640f413b72729abb66e460
Abyss	Abyss_01.unity	dung_defender_wall	FSM	4766	Abyss/Abyss_01.unity/dung_defender_wall__FSM__fsm_4766.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	476723df007a866cf216ed32181c89019af08f2240a0dd20ee82b501769d279a
Abyss	Abyss_01.unity	dung_defender_wall_broken	FSM	4757	Abyss/Abyss_01.unity/dung_defender_wall_broken__FSM__fsm_4757.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	c6ef0528c5c128d47496d4070a9881424dc4833c1e74c9fcdbaa333c03b6b901
Abyss	Abyss_01.unity	elev_plat_l_1	FSM	4823	Abyss/Abyss_01.unity/elev_plat_l_1__FSM__fsm_4823.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	dddc25a05a32a56c43af9074fa3d1e780f3c3e1cfca1b328319491e2d08bf97f
Abyss	Abyss_01.unity	pipe_acid	FSM	4850	Abyss/Abyss_01.unity/pipe_acid__FSM__fsm_4850.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	d1aace81fc22c289b8a5f7316e377204de0212d241fd590227623ccb78190cf5
Abyss	Abyss_01.unity	ruins_interior_particles	FSM	4831	Abyss/Abyss_01.unity/ruins_interior_particles__FSM__fsm_4831.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level327	11d5d31042884219467b55c6c836e392dd52f8e1213d8fbe2f03de90ee20fc39
Abyss	Abyss_02.unity	Alert_Region	FSM	6689	Abyss/Abyss_02.unity/Alert_Region__FSM__fsm_6689.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	9cddb2d4b9113350ffef1aa582864c2b4c864ce8dfa239f7cbf80aab359d2659
Abyss	Abyss_02.unity	Attack_Region	FSM	6687	Abyss/Abyss_02.unity/Attack_Region__FSM__fsm_6687.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	a1c86a227f995a26e0bc82dd5475e87cf63aca6dbd40180bb0a1fae09e88b410
Abyss	Abyss_02.unity	Audio_Player_Centipedes	FSM	6722	Abyss/Abyss_02.unity/Audio_Player_Centipedes__FSM__fsm_6722.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	7d130d911625860ca3523998b560816fa420f24ef3f05fad9445a6bc2a53d1fd
Abyss	Abyss_02.unity	Cave_Spikes__1	damages_enemy	6794	Abyss/Abyss_02.unity/Cave_Spikes__1__damages_enemy__fsm_6794.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	2675d1ddd35b78074a42d24989d5237daedbc298e7bb40c531454e4deea0d678
Abyss	Abyss_02.unity	Cave_Spikes	damages_enemy	6812	Abyss/Abyss_02.unity/Cave_Spikes__damages_enemy__fsm_6812.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	31c5119de1b415a5a5604af486ad0ca808a6e3b74814049f3a7b3164545249f6
Abyss	Abyss_02.unity	Charge_Region	FSM	6700	Abyss/Abyss_02.unity/Charge_Region__FSM__fsm_6700.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	2468ce02bb69ac33fb93b81273ff7e04b0a52d8da738271f16fa1c6f6cc8c51c
Abyss	Abyss_02.unity	Charge_Region	FSM	6763	Abyss/Abyss_02.unity/Charge_Region__FSM__fsm_6763.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	5e675a26965593ec0adecaf830f438a264365ce22d003808faab28f61c91cc84
Abyss	Abyss_02.unity	Dream_Dialogue	npc_dream_dialogue	6671	Abyss/Abyss_02.unity/Dream_Dialogue__npc_dream_dialogue__fsm_6671.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	8c06855f3c9fa9d9cc52ee311e1ce640841f99d097153fa2625e0b961232e77f
Abyss	Abyss_02.unity	EnemyDetector	enemy_message	6725	Abyss/Abyss_02.unity/EnemyDetector__enemy_message__fsm_6725.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	aa02a704236926a92a1ce4224c5fc3d0a206cb175136b5f5881e64a574570e90
Abyss	Abyss_02.unity	Evade_Region	FSM	6697	Abyss/Abyss_02.unity/Evade_Region__FSM__fsm_6697.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	565aed28ba4f436dd10f35087a37a6d16fb1fa97a02cc3c0104fddc48cba9e8f
Abyss	Abyss_02.unity	Flamebearer_Spawn	Spawn Control	6784	Abyss/Abyss_02.unity/Flamebearer_Spawn__Spawn_Control__fsm_6784.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	352eb43418a61000edbac37ed3b76c023a4925a337867e7869440e0d05f5f213
Abyss	Abyss_02.unity	GO_UP_Message	enemy_message	6738	Abyss/Abyss_02.unity/GO_UP_Message__enemy_message__fsm_6738.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	14bf7fe72d6620bdb6b47d2007b79b6bfea4a961a2d109b3d63a18ff6e4307f2
Abyss	Abyss_02.unity	Geo_Rock_Deepnest__1	Geo Rock	6734	Abyss/Abyss_02.unity/Geo_Rock_Deepnest__1__Geo_Rock__fsm_6734.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	c989ab90395fd83847aaa678ef8732720c34fcb50d4cff5cab3bc9d4ba31638d
Abyss	Abyss_02.unity	Geo_Rock_Deepnest__2	Geo Rock	6728	Abyss/Abyss_02.unity/Geo_Rock_Deepnest__2__Geo_Rock__fsm_6728.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	fae36b261ed26e00b0181e09db3fc74d95efcfff1639fdd5a8bb9279631795ed
Abyss	Abyss_02.unity	Geo_Rock_Deepnest	Geo Rock	6774	Abyss/Abyss_02.unity/Geo_Rock_Deepnest__Geo_Rock__fsm_6774.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	0af9b41308c03f9d4a1f3e9321621460907fe954b1e59a4966f3361c4664a6be
Abyss	Abyss_02.unity	Get_Flame	Follow Grimmchild	7040	Abyss/Abyss_02.unity/Get_Flame__Follow_Grimmchild__fsm_7040.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	863b53a59170961506f27d2453e27a6813580eed4a11259df860dd9485e2a57b
Abyss	Abyss_02.unity	Hero_Detector	FSM	6780	Abyss/Abyss_02.unity/Hero_Detector__FSM__fsm_6780.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	f122974a96d0c7e3c06adeb482bfcfadc3e76ee47434fdb0729ba171fd671afa
Abyss	Abyss_02.unity	Hollow_Shade_Marker__1	Spawn Offset	6772	Abyss/Abyss_02.unity/Hollow_Shade_Marker__1__Spawn_Offset__fsm_6772.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	1ed62d27419c925e2b61d29892f9d2d8ba940ca7e758ecf70cadda406ef014a3
Abyss	Abyss_02.unity	Hollow_Shade_Marker__2	Spawn Offset	6686	Abyss/Abyss_02.unity/Hollow_Shade_Marker__2__Spawn_Offset__fsm_6686.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	3525264d9cb2e347d056dac5dbbba0f02123ad9237aa972820f6348b27eb24b5
Abyss	Abyss_02.unity	Hollow_Shade_Marker	Spawn Offset	6682	Abyss/Abyss_02.unity/Hollow_Shade_Marker__Spawn_Offset__fsm_6682.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	2ef8d7b4ff8c9f7fe6921575d63e1ff6834cbc190db1fae416d219234219eb68
Abyss	Abyss_02.unity	Inspect_Region	inspect	6675	Abyss/Abyss_02.unity/Inspect_Region__inspect__fsm_6675.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	9df928db65fd65949b7abf34cc0e04588734d2603bb8c4aefabf5889cac713b7
Abyss	Abyss_02.unity	Lost_hero_Region	FSM	6665	Abyss/Abyss_02.unity/Lost_hero_Region__FSM__fsm_6665.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	1820c1b2dde9bb84056fbfd6e0b9eb23a7df385ebb9b4dceebc14ffa270b8195
Abyss	Abyss_02.unity	Lost_hero_Region	FSM	6701	Abyss/Abyss_02.unity/Lost_hero_Region__FSM__fsm_6701.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	625598f2c1bfc7aa45b53ab18ad8430bf7c206c6f0953ab4100c5e763651fc35
Abyss	Abyss_02.unity	Lost_hero_Region	FSM	6754	Abyss/Abyss_02.unity/Lost_hero_Region__FSM__fsm_6754.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	e7e785c8736766e9cb2f8fd7c45e43abc473f9868d352cb0321f1fd4caaea266
Abyss	Abyss_02.unity	Lost_hero_Region	FSM	6762	Abyss/Abyss_02.unity/Lost_hero_Region__FSM__fsm_6762.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	b6d2576be2f57638bcda55f48c3700f6762559597710f07bfd3f571ff02c2803
Abyss	Abyss_02.unity	PlayMaker_Unity_2D	PlayMaker Unity 2D	6680	Abyss/Abyss_02.unity/PlayMaker_Unity_2D__PlayMaker_Unity_2D__fsm_6680.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	25ad5c358fb7430a5472a4232869306d339d9c3ba2eb7aea77f7667ece38d70d
Abyss	Abyss_02.unity	Prompt_Marker	Prompt	6677	Abyss/Abyss_02.unity/Prompt_Marker__Prompt__fsm_6677.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	ce0f06947d99c28694a9e567d4bbe0e9484b3d715c45a9b24bf00f3f6b76da1b
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin__1	Flying Sentry Javelin	6767	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__1__Flying_Sentry_Javelin__fsm_6767.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	3a3b7895dc305a6ffb5a275f3059e546c38c26d03d16d13ebaa8a7680f67c103
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin__1	Go Upper	6764	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__1__Go_Upper__fsm_6764.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	b71c373f8813e3e6f7f8fc71c017dc9872f9373228aee96939233b24e768e505
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin__1	Lost Hero Check	6766	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__1__Lost_Hero_Check__fsm_6766.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	26d3a47fe2e54ea4b7d6e3736a84a3f768617a85d4758d96892f053e08d120f1
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin__1	disable_special_death	6947	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__1__disable_special_death__fsm_6947.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	c67d2ee1bf67bbff37c17e4b2b595415af9a72ad6bdbc7b78ea437feac1c06ef
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin	FSM	6699	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__FSM__fsm_6699.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	247f155e20173e4642dcd5ef057ca2a0dd1be32462b8f062da6204e65725afd7
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin	Flying Sentry Javelin	6706	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__Flying_Sentry_Javelin__fsm_6706.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	b170fac6ac21a4ca44adcc392e4e0fe4713d280e63dbbd368b6bfeb18e1d1f65
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin	Go Upper	6708	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__Go_Upper__fsm_6708.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	f68123e663bb5082c4d6c7e0b8bf6dac834e5e897f9cf67fa16559182a5660ae
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin	Lost Hero Check	6705	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__Lost_Hero_Check__fsm_6705.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	178ba5c1d812ca2e3c4dba64e12c664fdff65718a2b4ca13cde7bba7f4a41cd5
Abyss	Abyss_02.unity	Ruins_Flying_Sentry_Javelin	disable_special_death	6884	Abyss/Abyss_02.unity/Ruins_Flying_Sentry_Javelin__disable_special_death__fsm_6884.md	D:/SteamLibrary/steamapps/common/Hollow Knight/hollow_knight_Data/level328	84fca4a4d94866cd4d76a0ea8eca389adba8776bd77e5224862a9dcf99dfa203
